name,href,status,title,ok,note
가톨릭관동대학교,http://www.cku.ac.kr/,200,intro_대표,Y,
감리교신학대학교,http://www.mtu.ac.kr/mtu/main.jsp,404,HTTP Status 404 – Not Found,N,http 404
가천대학교,https://apply.jinhakapply.com/Notice/1019055/A,200,진학사 원서접수,Y,
가야대학교,http://www.kaya.ac.kr,200,,N,empty title
가톨릭꽃동네대학교,http://www.kkot.ac.kr,200,인덱스 페이지,Y,
강서대학교,http://www.kcu.ac.kr,,,N,"exception: Error: Page.goto: net::ERR_CERT_COMMON_NAME_INVALID at http://www.kcu.ac.kr/
Call log:
  - navigating to ""http://www.kcu.ac.kr/"", waiting until ""domcontentloaded""
"
전주대학교,http://www.jeonju.ac.kr,200,전주대학교,Y,
가톨릭대학교,https://www.catholic.ac.kr/,200,가톨릭대학교,Y,
강원대학교,http://www.kangwon.ac.kr,200,강원대학교- 함께 꾸는 하나의 꿈!,Y,
국립금오공과대학교,http://www.kumoh.ac.kr,200,국립금오공과대학교,Y,
건양대학교,http://www.konyang.ac.kr,200,건양대학교 글로컬대학30 최종 선정,Y,
강남대학교,http://www.kangnam.ac.kr,200,강남대학교 홈페이지,Y,
건국대학교(글로컬),http://www.kku.ac.kr,200,건국대학교 글로컬캠퍼스,Y,
"강원대학교(강릉캠퍼스,원주캠퍼스)",http://www.gwnu.ac.kr/,200,국립강릉원주대학교 대표,Y,
경기대학교,https://enter.kyonggi.ac.kr/intro.do,200,경기대학교 INTRO,Y,
경상국립대학교,https://www.gnu.ac.kr/new/main.do,200,경상국립대학교 입학안내,Y,
경일대학교,http://www.kiu.ac.kr,200,,N,empty title
경운대학교,http://ipsi.ikw.ac.kr/renew2/,404,| 경운대학교,N,http 404
경남대학교,http://www.kyungnam.ac.kr,200,경남대학교 대표,Y,
건국대학교 서울캠퍼스,http://www.konkuk.ac.kr,200,건국대학교,Y,
경인교육대학교,https://ipsi.ginue.ac.kr/ipsi/Main.do,200,경인교육대학교 입학본부,Y,
경동대학교,http://www.kduniv.ac.kr/,,,N,timeout
경북대학교,https://www.knu.ac.kr/wbbs/wbbs/main/main.action,200,경북대학교,Y,
경성대학교,http://www.ks.ac.kr,200,경성대학교(*),Y,
공주교육대학교,http://www.kongju-e.ac.kr,470,Cloudbric | ERROR! | 470,N,http 470
계명대학교,https://www.gokmu.ac.kr/main.htm,200,계명대학교,Y,
광신대학교,http://www.kwangshin.ac.kr,200,광신대학교,Y,
경희대학교,http://www.khu.ac.kr,200,경희대학교,Y,
광운대학교,http://iphak.kw.ac.kr,200,,N,empty title
고려대학교(세종),https://oku.korea.ac.kr/sejong/index.do,200,세종캠퍼스 입학팀 메인,Y,
광주대학교,http://www.gwangju.ac.kr,200,광주대학교,Y,
광주여자대학교,http://www.kwu.ac.kr,200,,N,empty title
고려대학교(서울),http://www.korea.ac.kr,200,고려대학교,Y,
광주교육대학교,http://www.gnue.ac.kr/,200,광주교육대학교 > 메인,Y,
국립경국대학교(국립안동대학교),https://www.gknu.ac.kr/main/index.do,200,국립경국대학교,Y,
국립부경대학교,http://www.pknu.ac.kr/,200,부경대학교 순번대기 시스템,Y,
국립공주대학교,http://www.kongju.ac.kr/,200,국립공주대학교 국문 대표,Y,
국립순천대학교,https://www.scnu.ac.kr/iphak/main.do,200,입학안내,Y,
국립한국교통대학교,https://www.ut.ac.kr/ipsi.do,200,한국교통대학교 입시,Y,
국립창원대학교,http://ipsi.changwon.ac.kr,200,,N,empty title
국립한밭대학교,http://admission.hanbat.ac.kr/html/kr/,200,입학안내,Y,
국립한국해양대학교,http://www.kmou.ac.kr,200,국립한국해양대학교,Y,
국립목포대학교,http://www.mokpo.ac.kr,200,국립목포대학교,Y,
극동대학교,http://www.kdu.ac.kr,200,극동대학교,Y,
국립군산대학교,http://www.kunsan.ac.kr,200,국립군산대학교,Y,
고신대학교,http://www.kosin.ac.kr,200,고신대학교,Y,
김천대학교,https://ibhak.gimcheon.ac.kr/,200,입학처,Y,
남서울대학교,http://www.namseoul.net/,200,남서울대학교,Y,
금강대학교,http://www.ggu.ac.kr,200,한국형 Liberal Art College 금강대학교,Y,
나사렛대학교,http://www.kornu.ac.kr/,200,나사렛대학교 대표 intro,Y,
대구가톨릭대학교,http://www.cu.ac.kr/,200,대구가톨릭대학교,Y,
단국대학교,http://www.dankook.ac.kr,200,,N,empty title
남부대학교,http://www.nambu.ac.kr,200,남부대학교,Y,
대구한의대학교,http://www.dhu.ac.kr,200,대구한의대학교,Y,
